Edit,Accl.,Zone,El�ment,Date R,Radial (m),Radial Beamb,Comm R Beamb,Radial Cw,Comm R Cw,Radial Mec,Comm R Mec,Radial Opti,Comm R Opti,Date V,Vertical (m),Vertical Beamb,Comm V Beamb,Vertical Cw,Comm V Cw,Vertical Mec,Comm V Mec,Vertical Opti,Comm V Opti,Date T,Roll (rad),Tilt Beamb,Comm T Beamb,Tilt Cw,Comm T Cw,Tilt Mec,Comm T Mec,Tilt Opti,Comm T Opti,Date L,Longitudinal (m),Longitudinal Beamb,Comm L Beamb,Longitudinal Cw,Comm L Cw,Longitudinal Mec,Comm L Mec,Longitudinal Opti,Comm L Opti,Id.,Date,Nom Layout,Id SU assemb.,lien SIG
,H4TEST,TT81,LSX.X0220134.E,,,,,,,,,,,11-Sep-26,0.004,0.001,Test Crabe: Vertical seul crabe E=+0.0040 m / S=-0.0040 m - reparti egalement sur B/M/O/C,0.001,,0.001,,0.001,,,,,,,,,,,,,,,,,,,,,,840446,11-Sep-26,LSX.X0220134,,
,H4TEST,TT81,LSX.X0220134.S,,,,,,,,,,,11-Sep-26,-0.004,-0.001,Test Crabe: Vertical seul crabe E=+0.0040 m / S=-0.0040 m - reparti egalement sur B/M/O/C,-0.001,,-0.001,,-0.001,,,,,,,,,,,,,,,,,,,,,,840338,11-Sep-26,LSX.X0220134,,
,H4TEST,TT81,MBXHC.X0220137.E,,,,,,,,,,,11-Sep-26,-0.006,,,,,-0.006,Test Symetrique: Vertical seul symetrique -0.006 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,840420,11-Sep-26,MBXHC.X0220137,,
,H4TEST,TT81,MBXHC.X0220137.S,,,,,,,,,,,11-Sep-26,-0.006,,,,,-0.006,Test Symetrique: Vertical seul symetrique -0.006 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,840602,11-Sep-26,MBXHC.X0220137,,
,H4TEST,TT81,MBXHC.X0220141.E,,,,,,,,,,,11-Sep-26,-0.002,-0.0005,Test Symetrique: Vertical seul symetrique -0.002 m (E=S) - reparti egalement sur B/M/O/C,-0.0005,,-0.0005,,-0.0005,,,,,,,,,,,,,,,,,,,,,,840362,11-Sep-26,MBXHC.X0220141,,
,H4TEST,TT81,MBXHC.X0220141.S,,,,,,,,,,,11-Sep-26,-0.002,-0.0005,Test Symetrique: Vertical seul symetrique -0.002 m (E=S) - reparti egalement sur B/M/O/C,-0.0005,,-0.0005,,-0.0005,,,,,,,,,,,,,,,,,,,,,,840339,11-Sep-26,MBXHC.X0220141,,
,H4TEST,TT81,MBXHC.X0220144.E,,,,,,,,,,,11-Sep-26,0.001,,,,,0.001,Test Symetrique: Vertical seul symetrique +0.001 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,840385,11-Sep-26,MBXHC.X0220144,,
,H4TEST,TT81,MBXHC.X0220144.S,,,,,,,,,,,11-Sep-26,0.001,,,,,0.001,Test Symetrique: Vertical seul symetrique +0.001 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,840252,11-Sep-26,MBXHC.X0220144,,
,H4TEST,TT81,MBXHC.X0220147.E,,,,,,,,,,,11-Sep-26,0.02,,,,,0.02,Test Symetrique: Vertical seul symetrique +0.020 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,840240,11-Sep-26,MBXHC.X0220147,,
,H4TEST,TT81,MBXHC.X0220147.S,,,,,,,,,,,11-Sep-26,0.02,,,,,0.02,Test Symetrique: Vertical seul symetrique +0.020 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,840497,11-Sep-26,MBXHC.X0220147,,
,H4TEST,TT81,QNL.X0220167.E,,,,,,,,,,,11-Sep-26,0.05,,,,,0.05,Test Crabe: Vertical seul crabe E=+0.0500 m / S=-0.0500 m - tout en M,,,,,,,,,,,,,,,,,,,,,,,840227,11-Sep-26,QNL.X0220167,,
,H4TEST,TT81,QNL.X0220167.S,,,,,,,,,,,11-Sep-26,-0.05,,,,,-0.05,Test Crabe: Vertical seul crabe E=+0.0500 m / S=-0.0500 m - tout en M,,,,,,,,,,,,,,,,,,,,,,,840350,11-Sep-26,QNL.X0220167,,
,H4TEST,TT81,QNL.X0220177.E,,,,,,,,,,,11-Sep-26,0.1,,,,,0.1,Test Crabe: Vertical seul crabe E=+0.1000 m / S=-0.1000 m - tout en M,,,,,,,,,,,,,,,,,,,,,,,840525,11-Sep-26,QNL.X0220177,,
,H4TEST,TT81,QNL.X0220177.S,,,,,,,,,,,11-Sep-26,-0.1,,,,,-0.1,Test Crabe: Vertical seul crabe E=+0.1000 m / S=-0.1000 m - tout en M,,,,,,,,,,,,,,,,,,,,,,,840479,11-Sep-26,QNL.X0220177,,
,H4TEST,TT81,XCSV.X0220179.E,11-Sep-26,-0.1,-0.025,Test Symetrique: Radial seul symetrique -0.100 m (E=S) - reparti egalement sur B/M/O/C,-0.025,,-0.025,,-0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840521,11-Sep-26,XCSV.X0220179,,
,H4TEST,TT81,XCSV.X0220179.S,11-Sep-26,-0.1,-0.025,Test Symetrique: Radial seul symetrique -0.100 m (E=S) - reparti egalement sur B/M/O/C,-0.025,,-0.025,,-0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840365,11-Sep-26,XCSV.X0220179,,
,H4TEST,TT81,LSX.X0220195.E,11-Sep-26,-0.05,,,,,-0.05,Test Symetrique: Radial seul symetrique -0.050 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840383,11-Sep-26,LSX.X0220195,,
,H4TEST,TT81,LSX.X0220195.S,11-Sep-26,-0.05,,,,,-0.05,Test Symetrique: Radial seul symetrique -0.050 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840387,11-Sep-26,LSX.X0220195,,
,H4TEST,TT81,XCHV.X0220196.E,11-Sep-26,-0.02,,,,,-0.02,Test Symetrique: Radial seul symetrique -0.020 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840480,11-Sep-26,XCHV.X0220196,,
,H4TEST,TT81,XCHV.X0220196.S,11-Sep-26,-0.02,,,,,-0.02,Test Symetrique: Radial seul symetrique -0.020 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840418,11-Sep-26,XCHV.X0220196,,
,H4TEST,TT81,LSX.X0220197.E,11-Sep-26,-0.006,,,,,-0.006,Test Symetrique: Radial seul symetrique -0.006 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840535,11-Sep-26,LSX.X0220197,,
,H4TEST,TT81,LSX.X0220197.S,11-Sep-26,-0.006,,,,,-0.006,Test Symetrique: Radial seul symetrique -0.006 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840532,11-Sep-26,LSX.X0220197,,
,H4TEST,TT81,XCSV.X0220213.E,11-Sep-26,0.001,,,,,0.001,Test Symetrique: Radial seul symetrique +0.001 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840458,11-Sep-26,XCSV.X0220213,,
,H4TEST,TT81,XCSV.X0220213.S,11-Sep-26,0.001,,,,,0.001,Test Symetrique: Radial seul symetrique +0.001 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840536,11-Sep-26,XCSV.X0220213,,
,H4TEST,TT81,QNL.X0220215.E,11-Sep-26,0.006,,,,,0.006,Test Symetrique: Radial seul symetrique +0.006 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840376,11-Sep-26,QNL.X0220215,,
,H4TEST,TT81,QNL.X0220215.S,11-Sep-26,0.006,,,,,0.006,Test Symetrique: Radial seul symetrique +0.006 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840437,11-Sep-26,QNL.X0220215,,
,H4TEST,TT81,QNL.X0220225.E,11-Sep-26,0.02,,,,,0.02,Test Symetrique: Radial seul symetrique +0.020 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840267,11-Sep-26,QNL.X0220225,,
,H4TEST,TT81,QNL.X0220225.S,11-Sep-26,0.02,,,,,0.02,Test Symetrique: Radial seul symetrique +0.020 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840443,11-Sep-26,QNL.X0220225,,
,H4TEST,TT81,XSCI.X0220256.E,,,,,,,,,,,11-Sep-26,0.002,0.0005,Test Combine (symetrique): Roll 5 mrad + Vertical = +0.002 m (E=S) - reparti egalement sur B/M/O/C,0.0005,,0.0005,,0.0005,,11-Sep-26,0.005,0.00125,Test Combine (symetrique): Roll 5 mrad + Vertical = +0.002 m (E=S) - reparti egalement sur B/M/O/C,0.00125,,0.00125,,0.00125,,,,,,,,,,,,840314,11-Sep-26,XSCI.X0220256,,
,H4TEST,TT81,XFFV.X0220257.E,11-Sep-26,0.1,,,,,0.1,Test Symetrique: Radial seul symetrique +0.100 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840444,11-Sep-26,XFFV.X0220257,,
,H4TEST,TT81,XFFH.X0220258.E,11-Sep-26,0.05,,,,,0.05,Test Symetrique: Radial seul symetrique +0.050 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840595,11-Sep-26,XFFH.X0220258,,
,H4TEST,TT81,XFFV.X0220257.S,11-Sep-26,0.1,,,,,0.1,Test Symetrique: Radial seul symetrique +0.100 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840394,11-Sep-26,XFFV.X0220257,,
,H4TEST,TT81,XFFH.X0220258.S,11-Sep-26,0.05,,,,,0.05,Test Symetrique: Radial seul symetrique +0.050 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840248,11-Sep-26,XFFH.X0220258,,
,H4TEST,TT81,QNL.X0220260.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-26,-0.1,-0.025,Test Symetrique: Longitudinal seul symetrique -0.100 m (E=S) - reparti egalement sur B/M/O/C,-0.025,,-0.025,,-0.025,,840347,11-Sep-26,QNL.X0220260,,
,H4TEST,TT81,QNL.X0220260.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-26,-0.1,-0.025,Test Symetrique: Longitudinal seul symetrique -0.100 m (E=S) - reparti egalement sur B/M/O/C,-0.025,,-0.025,,-0.025,,840360,11-Sep-26,QNL.X0220260,,
,H4TEST,TT81,XFFH.X0220262.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-26,-0.05,,,,,-0.05,Test Symetrique: Longitudinal seul symetrique -0.050 m (E=S) - tout en M,,,840384,11-Sep-26,XFFH.X0220262,,
,H4TEST,TT81,XFFH.X0220262.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-26,-0.05,,,,,-0.05,Test Symetrique: Longitudinal seul symetrique -0.050 m (E=S) - tout en M,,,840391,11-Sep-26,XFFH.X0220262,,
,H4TEST,TT81,QNL.X0220295.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-26,-0.02,,,,,-0.02,Test Symetrique: Longitudinal seul symetrique -0.020 m (E=S) - tout en M,,,840271,11-Sep-26,QNL.X0220295,,
,H4TEST,TT81,QNL.X0220295.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-26,-0.02,,,,,-0.02,Test Symetrique: Longitudinal seul symetrique -0.020 m (E=S) - tout en M,,,840433,11-Sep-26,QNL.X0220295,,
,H4TEST,TT81,QNL.X0220305.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-26,-0.006,,,,,-0.006,Test Symetrique: Longitudinal seul symetrique -0.006 m (E=S) - tout en M,,,840246,11-Sep-26,QNL.X0220305,,
,H4TEST,TT81,QNL.X0220305.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-26,-0.006,,,,,-0.006,Test Symetrique: Longitudinal seul symetrique -0.006 m (E=S) - tout en M,,,840569,11-Sep-26,QNL.X0220305,,
,H4TEST,TT81,MBNV.X0220309.E,,,,,,,,,,,11-Sep-26,0.1,,,,,0.1,Test Symetrique: Vertical seul symetrique +0.100 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,840544,11-Sep-26,MBNV.X0220309,,
,H4TEST,TT81,MBNV.X0220309.S,,,,,,,,,,,11-Sep-26,0.1,,,,,0.1,Test Symetrique: Vertical seul symetrique +0.100 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,840272,11-Sep-26,MBNV.X0220309,,
,H4TEST,TT81,MBNV.X0220315.E,11-Sep-26,0.002,0.0005,Test Crabe: Radial seul crabe E=+0.002 m / S=-0.002 m - reparti egalement sur B/M/O/C,0.0005,,0.0005,,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840603,11-Sep-26,MBNV.X0220315,,
,H4TEST,TT81,MBNV.X0220315.S,11-Sep-26,-0.002,-0.0005,Test Crabe: Radial seul crabe E=+0.002 m / S=-0.002 m - reparti egalement sur B/M/O/C,-0.0005,,-0.0005,,-0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840354,11-Sep-26,MBNV.X0220315,,
,H4TEST,TT81,MBNV.X0220321.E,11-Sep-26,0.02,,,,,0.02,Test Crabe: Radial seul crabe E=+0.020 m / S=-0.020 m - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840454,11-Sep-26,MBNV.X0220321,,
,H4TEST,TT81,MBNV.X0220321.S,11-Sep-26,-0.02,,,,,-0.02,Test Crabe: Radial seul crabe E=+0.020 m / S=-0.020 m - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840377,11-Sep-26,MBNV.X0220321,,
,H4TEST,TT81,XFFV.X0220323.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-26,0.05,0.0125,Test Symetrique: Longitudinal seul symetrique +0.050 m (E=S) - reparti egalement sur B/M/O/C,0.0125,,0.0125,,0.0125,,840563,11-Sep-26,XFFV.X0220323,,
,H4TEST,TT81,XFFH.X0220324.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-26,0.02,,,,,0.02,Test Symetrique: Longitudinal seul symetrique +0.020 m (E=S) - tout en M,,,840289,11-Sep-26,XFFH.X0220324,,
,H4TEST,TT81,XFFV.X0220323.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-26,0.05,0.0125,Test Symetrique: Longitudinal seul symetrique +0.050 m (E=S) - reparti egalement sur B/M/O/C,0.0125,,0.0125,,0.0125,,840324,11-Sep-26,XFFV.X0220323,,
,H4TEST,TT81,XFFH.X0220324.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-26,0.02,,,,,0.02,Test Symetrique: Longitudinal seul symetrique +0.020 m (E=S) - tout en M,,,840554,11-Sep-26,XFFH.X0220324,,
,H4TEST,TT81,MBNV.X0220327.E,11-Sep-26,0.002,,,,,0.002,Test Combine (roll symetrique + crabe multi-axes): Roll symetrique +0.0010 rad (1 mrad) + Radial crabe (E=+0.002/S=-0.002 m) + Longitudinal symetrique (+0.002 m E=S) + Vertical crabe (E=+0.002/S=-0.002 m) - tout en M,,,11-Sep-26,0.002,,,,,0.002,Test Combine (roll symetrique + crabe multi-axes): Roll symetrique +0.0010 rad (1 mrad) + Radial crabe (E=+0.002/S=-0.002 m) + Longitudinal symetrique (+0.002 m E=S) + Vertical crabe (E=+0.002/S=-0.002 m) - tout en M,,,11-Sep-26,0.001,,,,,0.001,Test Combine (roll symetrique + crabe multi-axes): Roll symetrique +0.0010 rad (1 mrad) + Radial crabe (E=+0.002/S=-0.002 m) + Longitudinal symetrique (+0.002 m E=S) + Vertical crabe (E=+0.002/S=-0.002 m) - tout en M,,,11-Sep-26,0.002,,,,,0.002,Test Combine (roll symetrique + crabe multi-axes): Roll symetrique +0.0010 rad (1 mrad) + Radial crabe (E=+0.002/S=-0.002 m) + Longitudinal symetrique (+0.002 m E=S) + Vertical crabe (E=+0.002/S=-0.002 m) - tout en M,,,840258,11-Sep-26,MBNV.X0220327,,
,H4TEST,TT81,MBNV.X0220327.S,11-Sep-26,-0.002,,,,,-0.002,Test Combine (roll symetrique + crabe multi-axes): Roll symetrique +0.0010 rad (1 mrad) + Radial crabe (E=+0.002/S=-0.002 m) + Longitudinal symetrique (+0.002 m E=S) + Vertical crabe (E=+0.002/S=-0.002 m) - tout en M,,,11-Sep-26,-0.002,,,,,-0.002,Test Combine (roll symetrique + crabe multi-axes): Roll symetrique +0.0010 rad (1 mrad) + Radial crabe (E=+0.002/S=-0.002 m) + Longitudinal symetrique (+0.002 m E=S) + Vertical crabe (E=+0.002/S=-0.002 m) - tout en M,,,11-Sep-26,0.001,,,,,0.001,Test Combine (roll symetrique + crabe multi-axes): Roll symetrique +0.0010 rad (1 mrad) + Radial crabe (E=+0.002/S=-0.002 m) + Longitudinal symetrique (+0.002 m E=S) + Vertical crabe (E=+0.002/S=-0.002 m) - tout en M,,,11-Sep-26,0.002,,,,,0.002,Test Combine (roll symetrique + crabe multi-axes): Roll symetrique +0.0010 rad (1 mrad) + Radial crabe (E=+0.002/S=-0.002 m) + Longitudinal symetrique (+0.002 m E=S) + Vertical crabe (E=+0.002/S=-0.002 m) - tout en M,,,840557,11-Sep-26,MBNV.X0220327,,
